ID,Date,Time,Latitude,Longitude
TMC03,1/1/2016,2:00:00,-34.108608,18.356972
TMC03,1/1/2016,8:00:00,-34.104938,18.358223
TMC03,1/1/2016,11:00:00,-34.104768,18.358292
TMC03,1/1/2016,14:00:00,-34.10452,18.358555
TMC03,1/1/2016,17:00:00,-34.104552,18.358352
TMC03,1/1/2016,20:00:00,-34.104792,18.358373
TMC03,1/1/2016,23:00:00,-34.104762,18.358377
TMC03,1/2/2016,2:00:00,-34.104783,18.358303
TMC03,1/2/2016,5:00:00,-34.10465,18.35824
TMC03,1/2/2016,8:00:00,-34.104802,18.358248
TMC03,1/2/2016,11:00:00,-34.10477,18.35826
TMC03,1/2/2016,14:00:00,-34.104147,18.358923
TMC03,1/2/2016,17:00:00,-34.104812,18.35834
TMC03,1/2/2016,20:00:00,-34.104767,18.35832
TMC03,1/2/2016,23:00:00,-34.104775,18.358365
TMC03,1/3/2016,2:00:00,-34.104698,18.358488
TMC03,1/3/2016,5:00:00,-34.104762,18.358318
TMC03,1/3/2016,8:00:00,-34.104767,18.357833
TMC03,1/3/2016,11:00:00,-34.104742,18.358298
TMC03,1/3/2016,14:00:00,-34.10453,18.358723
TMC03,1/3/2016,17:00:00,-34.104758,18.358232
TMC03,1/3/2016,20:00:00,-34.106495,18.360117
TMC03,1/3/2016,23:00:00,-34.107803,18.353948
TMC03,1/4/2016,2:00:00,-34.104672,18.357903
TMC03,1/4/2016,5:00:00,-34.104758,18.358955
TMC03,1/4/2016,8:00:00,-34.103353,18.35851
TMC03,1/4/2016,11:00:00,-34.104622,18.358345
TMC03,1/4/2016,14:00:00,-34.104847,18.358183
TMC03,1/4/2016,17:00:00,-34.105085,18.357832
TMC03,1/4/2016,20:00:00,-34.110547,18.355952
TMC03,1/4/2016,23:00:00,-34.113222,18.35522
TMC03,1/5/2016,2:00:00,-34.10471,18.35823
TMC03,1/5/2016,5:00:00,-34.104658,18.358177
TMC03,1/5/2016,8:00:00,-34.104823,18.358082
TMC03,1/5/2016,11:00:00,-34.104205,18.359237
TMC03,1/5/2016,14:00:00,-34.104948,18.358628
TMC03,1/5/2016,17:00:00,-34.1047,18.358345
TMC03,1/5/2016,20:00:00,-34.10502,18.358042
TMC03,1/5/2016,23:00:00,-34.111455,18.35486
TMC03,1/6/2016,2:00:00,-34.104762,18.357978
TMC03,1/6/2016,5:00:00,-34.104688,18.35823
TMC03,1/6/2016,8:00:00,-34.104397,18.358655
TMC03,1/6/2016,11:00:00,-34.104728,18.358158
TMC03,1/6/2016,14:00:00,-34.10462,18.358442
TMC03,1/6/2016,17:00:00,-34.108333,18.365205
TMC03,1/6/2016,20:00:00,-34.113363,18.36813
TMC03,1/6/2016,23:00:00,-34.11324,18.368267
TMC03,1/7/2016,2:00:00,-34.10466,18.358067
TMC03,1/7/2016,5:00:00,-34.104748,18.358127
TMC03,1/7/2016,8:00:00,-34.104708,18.358553
TMC03,1/7/2016,11:00:00,-34.10479,18.358287
TMC03,1/7/2016,14:00:00,-34.102147,18.35909
TMC03,1/7/2016,17:00:00,-34.10118,18.35922
TMC03,1/7/2016,20:00:00,-34.113272,18.355295
TMC03,1/7/2016,23:00:00,-34.1099,18.354642
TMC03,1/8/2016,2:00:00,-34.104792,18.358083
TMC03,1/8/2016,5:00:00,-34.104718,18.358213
TMC03,1/8/2016,8:00:00,-34.10456,18.358372
TMC03,1/8/2016,11:00:00,-34.10294,18.361012
TMC03,1/8/2016,14:00:00,-34.109127,18.368123
TMC03,1/8/2016,17:00:00,-34.114293,18.368662
TMC03,1/8/2016,20:00:00,-34.110347,18.365717
TMC03,1/8/2016,23:00:00,-34.10411,18.358548
TMC03,1/9/2016,5:00:00,-34.104403,18.358223
TMC03,1/9/2016,8:00:00,-34.104453,18.358473
TMC03,1/9/2016,11:00:00,-34.10469,18.358243
TMC03,1/9/2016,14:00:00,-34.101972,18.359377
TMC03,1/9/2016,17:00:00,-34.103502,18.357585
TMC03,1/9/2016,20:00:00,-34.105362,18.357972
TMC03,1/9/2016,23:00:00,-34.104702,18.35828
TMC03,1/10/2016,2:00:00,-34.104355,18.358208
TMC03,1/10/2016,5:00:00,-34.104697,18.358182
TMC03,1/10/2016,8:00:00,-34.106313,18.358432
TMC03,1/10/2016,11:00:00,-34.104793,18.358348
TMC03,1/10/2016,14:00:00,-34.104688,18.358273
TMC03,1/10/2016,17:00:00,-34.104867,18.358243
TMC03,1/10/2016,20:00:00,-34.10964,18.36784
TMC03,1/10/2016,23:00:00,-34.113502,18.367862
TMC03,1/11/2016,2:00:00,-34.1089,18.365667
TMC03,1/11/2016,5:00:00,-34.104707,18.358183
TMC03,1/11/2016,11:00:00,-34.105703,18.36006
TMC03,1/11/2016,14:00:00,-34.11386,18.367948
TMC03,1/11/2016,17:00:00,-34.113695,18.367613
TMC03,1/11/2016,20:00:00,-34.108235,18.367188
TMC03,1/11/2016,23:00:00,-34.129572,18.346858
TMC03,1/12/2016,2:00:00,-34.10473,18.358232
TMC03,1/12/2016,5:00:00,-34.104513,18.35835
TMC03,1/12/2016,8:00:00,-34.104857,18.358247
TMC03,1/12/2016,11:00:00,-34.104923,18.358308
TMC03,1/12/2016,14:00:00,-34.104592,18.35789
TMC03,1/12/2016,17:00:00,-34.1048,18.35825
TMC03,1/12/2016,20:00:00,-34.104783,18.358242
TMC03,1/12/2016,23:00:00,-34.110133,18.353385
TMC03,1/13/2016,2:00:00,-34.113048,18.352702
TMC03,1/13/2016,5:00:00,-34.104577,18.358128
TMC03,1/13/2016,8:00:00,-34.104667,18.358412
TMC03,1/13/2016,11:00:00,-34.104513,18.35742
TMC03,1/13/2016,14:00:00,-34.104782,18.358182
TMC03,1/13/2016,17:00:00,-34.104852,18.358328
TMC03,1/13/2016,20:00:00,-34.112767,18.355307
TMC03,1/13/2016,23:00:00,-34.127568,18.349873
TMC03,1/14/2016,2:00:00,-34.104348,18.35829
TMC03,1/14/2016,5:00:00,-34.104802,18.358217
TMC03,1/14/2016,8:00:00,-34.104805,18.358232
TMC03,1/14/2016,11:00:00,-34.104897,18.358217
TMC03,1/14/2016,14:00:00,-34.108505,18.365907
TMC03,1/14/2016,17:00:00,-34.113283,18.367988
TMC03,1/14/2016,20:00:00,-34.113858,18.354418
TMC03,1/14/2016,23:00:00,-34.127605,18.34899
TMC03,1/15/2016,2:00:00,-34.127343,18.34912
TMC03,1/15/2016,5:00:00,-34.104785,18.358218
TMC03,1/15/2016,8:00:00,-34.104933,18.358252
TMC03,1/15/2016,11:00:00,-34.105585,18.359435
TMC03,1/15/2016,14:00:00,-34.10499,18.358658
TMC03,1/15/2016,17:00:00,-34.105345,18.358572
TMC03,1/15/2016,20:00:00,-34.105113,18.35857
TMC03,1/15/2016,23:00:00,-34.108762,18.35466
TMC03,1/16/2016,2:00:00,-34.127048,18.347315
TMC03,1/16/2016,5:00:00,-34.104972,18.358607
TMC03,1/16/2016,8:00:00,-34.105105,18.358623
TMC03,1/16/2016,11:00:00,-34.104958,18.358615
TMC03,1/16/2016,14:00:00,-34.111657,18.355302
TMC03,1/16/2016,17:00:00,-34.11253,18.355577
TMC03,1/16/2016,20:00:00,-34.114493,18.354297
TMC03,1/16/2016,23:00:00,-34.130027,18.34692
TMC03,1/17/2016,2:00:00,-34.129913,18.34696
TMC03,1/17/2016,5:00:00,-34.129992,18.346935
TMC03,1/17/2016,8:00:00,-34.129948,18.34686
TMC03,1/17/2016,11:00:00,-34.104947,18.358843
TMC03,1/17/2016,14:00:00,-34.104978,18.358622
TMC03,1/17/2016,17:00:00,-34.105103,18.358723
TMC03,1/17/2016,20:00:00,-34.104842,18.358538
TMC03,1/17/2016,23:00:00,-34.104812,18.358575
TMC03,1/18/2016,2:00:00,-34.103757,18.359025
TMC03,1/18/2016,5:00:00,-34.104832,18.35871
TMC03,1/18/2016,8:00:00,-34.104618,18.359295
TMC03,1/18/2016,11:00:00,-34.10491,18.358567
TMC03,1/18/2016,14:00:00,-34.104963,18.358562
TMC03,1/18/2016,17:00:00,-34.106903,18.356638
TMC03,1/18/2016,20:00:00,-34.127042,18.349993
TMC03,1/18/2016,23:00:00,-34.125793,18.350345
TMC03,1/19/2016,2:00:00,-34.111072,18.353977
TMC03,1/19/2016,5:00:00,-34.104707,18.35856
TMC03,1/19/2016,8:00:00,-34.104795,18.358555
TMC03,1/19/2016,11:00:00,-34.102628,18.358897
TMC03,1/19/2016,14:00:00,-34.10243,18.359155
TMC03,1/19/2016,17:00:00,-34.102212,18.359175
TMC03,1/19/2016,20:00:00,-34.10492,18.358648
TMC03,1/19/2016,23:00:00,-34.105373,18.357762
TMC03,1/20/2016,2:00:00,-34.102775,18.35787
TMC03,1/20/2016,5:00:00,-34.103262,18.358737
TMC03,1/20/2016,8:00:00,-34.104718,18.359065
TMC03,1/20/2016,11:00:00,-34.102137,18.359142
TMC03,1/20/2016,14:00:00,-34.10216,18.358943
TMC03,1/20/2016,17:00:00,-34.100698,18.360008
TMC03,1/20/2016,20:00:00,-34.101075,18.35695
TMC03,1/20/2016,23:00:00,-34.114287,18.355008
TMC03,1/21/2016,2:00:00,-34.104527,18.361665
TMC03,1/21/2016,5:00:00,-34.10363,18.358448
TMC03,1/21/2016,8:00:00,-34.104357,18.35898
TMC03,1/21/2016,11:00:00,-34.103052,18.360863
TMC03,1/21/2016,14:00:00,-34.104863,18.36544
TMC03,1/21/2016,17:00:00,-34.106897,18.366307
TMC03,1/21/2016,20:00:00,-34.108592,18.36729
TMC03,1/21/2016,23:00:00,-34.104662,18.359078
TMC03,1/22/2016,2:00:00,-34.120348,18.36285
TMC03,1/22/2016,5:00:00,-34.106683,18.360365
TMC03,1/22/2016,8:00:00,-34.10502,18.358695
TMC03,1/22/2016,11:00:00,-34.104875,18.358893
TMC03,1/22/2016,14:00:00,-34.104878,18.358887
TMC03,1/22/2016,17:00:00,-34.104908,18.358887
TMC03,1/22/2016,20:00:00,-34.114677,18.354412
TMC03,1/22/2016,23:00:00,-34.129187,18.34737
TMC03,1/23/2016,2:00:00,-34.113335,18.354203
TMC03,1/23/2016,5:00:00,-34.104907,18.359012
TMC03,1/23/2016,8:00:00,-34.104888,18.358867
TMC03,1/23/2016,11:00:00,-34.106593,18.364078
TMC03,1/23/2016,14:00:00,-34.109447,18.365458
TMC03,1/23/2016,17:00:00,-34.113147,18.365575
TMC03,1/23/2016,20:00:00,-34.125953,18.362272
TMC03,1/23/2016,23:00:00,-34.129187,18.344062
TMC03,1/24/2016,2:00:00,-34.106305,18.358513
TMC03,1/24/2016,5:00:00,-34.104955,18.358932
TMC03,1/24/2016,8:00:00,-34.104837,18.358947
TMC03,1/24/2016,11:00:00,-34.101122,18.359407
TMC03,1/24/2016,14:00:00,-34.099285,18.35928
TMC03,1/24/2016,17:00:00,-34.10354,18.357943
TMC03,1/24/2016,20:00:00,-34.104935,18.358888
TMC03,1/24/2016,23:00:00,-34.104818,18.358925
TMC03,1/25/2016,5:00:00,-34.104915,18.358955
TMC03,1/25/2016,8:00:00,-34.10453,18.360243
TMC03,1/25/2016,11:00:00,-34.103562,18.36107
TMC03,1/25/2016,14:00:00,-34.103502,18.361208
TMC03,1/25/2016,17:00:00,-34.104968,18.35901
TMC03,1/25/2016,20:00:00,-34.104703,18.358848
TMC03,1/25/2016,23:00:00,-34.104867,18.358898
TMC03,1/26/2016,2:00:00,-34.10489,18.358965
TMC03,1/26/2016,5:00:00,-34.105025,18.358832
TMC03,1/26/2016,8:00:00,-34.104687,18.35911
TMC03,1/26/2016,11:00:00,-34.102498,18.359555
TMC03,1/26/2016,14:00:00,-34.10198,18.359602
TMC03,1/26/2016,17:00:00,-34.104192,18.35916
TMC03,1/26/2016,20:00:00,-34.106853,18.359817
TMC03,1/26/2016,23:00:00,-34.106395,18.358778
TMC03,1/27/2016,2:00:00,-34.10436,18.359762
TMC03,1/27/2016,5:00:00,-34.101172,18.358877
TMC03,1/27/2016,8:00:00,-34.104883,18.358827
TMC03,1/27/2016,11:00:00,-34.10362,18.362095
TMC03,1/27/2016,14:00:00,-34.105442,18.36541
TMC03,1/27/2016,17:00:00,-34.102973,18.364925
TMC03,1/27/2016,20:00:00,-34.106413,18.358977
TMC03,1/27/2016,23:00:00,-34.12937,18.347327
TMC03,1/28/2016,2:00:00,-34.107055,18.359872
TMC03,1/28/2016,8:00:00,-34.106553,18.35845
TMC03,1/28/2016,11:00:00,-34.104823,18.35887
TMC03,1/28/2016,14:00:00,-34.104132,18.359052
TMC03,1/28/2016,17:00:00,-34.102447,18.35943
TMC03,1/28/2016,20:00:00,-34.101995,18.359617
TMC03,1/28/2016,23:00:00,-34.119613,18.353097
TMC03,1/29/2016,2:00:00,-34.119693,18.353178
TMC03,1/29/2016,5:00:00,-34.119637,18.352948
TMC03,1/29/2016,8:00:00,-34.104863,18.358938
TMC03,1/29/2016,11:00:00,-34.108883,18.36653
TMC03,1/29/2016,14:00:00,-34.109755,18.369397
